subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_108 sess_1 PFC_iTBS 1 1 neutral 1 compatible 4 down blue D D 1 770 568 715 769 No-drop s s 1 934
OGWM_108 sess_1 PFC_iTBS 1 2 neutral 1 compatible 3 up orange U U 1 808 702 736 807 No-drop d d 1 860
OGWM_108 sess_1 PFC_iTBS 1 3 neutral 2 incompatible 3 up blue D D 1 881 560 810 881 No-drop d d 1 806
OGWM_108 sess_1 PFC_iTBS 1 4 neutral 1 compatible 4 down blue D D 1 788 683 701 787 No-drop s s 1 1033
OGWM_108 sess_1 PFC_iTBS 1 5 neutral 1 compatible 3 up orange U U 1 640 517 569 640 No-drop d d 1 477
OGWM_108 sess_1 PFC_iTBS 1 6 neutral 2 incompatible 4 down orange U U 1 832 727 745 831 No-drop d d 1 829
OGWM_108 sess_1 PFC_iTBS 1 7 neutral 2 incompatible 1 left orange U U 1 838 699 733 837 No-drop s s 1 393
OGWM_108 sess_1 PFC_iTBS 1 8 neutral 1 compatible 3 up orange U U 1 712 607 643 711 No-drop s s 1 446
OGWM_108 sess_1 PFC_iTBS 1 9 neutral 2 incompatible 1 left pink R R 1 635 561 579 633 No-drop s s 1 1025
OGWM_108 sess_1 PFC_iTBS 1 10 neutral 1 compatible 4 down blue D D 1 732 229 681 731 No-drop s s 1 772
OGWM_108 sess_1 PFC_iTBS 1 11 neutral 2 incompatible 1 left orange U U 1 700 595 629 699 No-drop d d 1 1153
OGWM_108 sess_1 PFC_iTBS 1 12 neutral 2 incompatible 2 right green L L 1 634 545 563 633 No-drop d d 1 847
OGWM_108 sess_1 PFC_iTBS 1 13 neutral 2 incompatible 1 left pink R L 0 1066 963 1013 No-move No-drop s s 1 1410
OGWM_108 sess_1 PFC_iTBS 1 14 neutral 2 incompatible 2 right orange U U 1 730 591 659 729 No-drop s s 1 669
OGWM_108 sess_1 PFC_iTBS 1 15 neutral 2 incompatible 4 down pink R R 1 640 551 587 639 No-drop d d 1 998
OGWM_108 sess_1 PFC_iTBS 1 16 neutral 2 incompatible 1 left orange U U 1 702 493 631 701 No-drop d d 1 1042
OGWM_108 sess_1 PFC_iTBS 1 17 neutral 1 compatible 1 left green L L 1 760 543 707 759 No-drop s s 1 1149
OGWM_108 sess_1 PFC_iTBS 1 18 neutral 1 compatible 4 down blue D D 1 772 389 719 771 No-drop d d 1 1100
OGWM_108 sess_1 PFC_iTBS 1 19 neutral 2 incompatible 2 right orange U U 1 836 749 783 835 No-drop s d 0 1451
OGWM_108 sess_1 PFC_iTBS 1 20 neutral 2 incompatible 2 right blue D D 1 686 511 617 685 No-drop d d 1 813
OGWM_108 sess_1 PFC_iTBS 1 21 neutral 1 compatible 3 up orange U U 1 674 123 621 673 No-drop s s 1 657
OGWM_108 sess_1 PFC_iTBS 1 22 neutral 1 compatible 2 right pink R R 1 570 501 519 569 No-drop s s 1 700
OGWM_108 sess_1 PFC_iTBS 1 23 neutral 2 incompatible 4 down pink R R 1 652 565 583 651 No-drop d d 1 644
OGWM_108 sess_1 PFC_iTBS 1 24 neutral 1 compatible 3 up orange U U 1 654 567 585 653 No-drop d d 1 678
OGWM_108 sess_1 PFC_iTBS 1 25 neutral 1 compatible 1 left green L L 1 830 761 795 829 No-drop s s 1 671
OGWM_108 sess_1 PFC_iTBS 1 26 neutral 1 compatible 1 left green L L 1 656 59 621 655 No-drop d d 1 665
OGWM_108 sess_1 PFC_iTBS 1 27 neutral 1 compatible 3 up orange U U 1 660 75 589 659 No-drop d d 1 1130
OGWM_108 sess_1 PFC_iTBS 1 28 neutral 2 incompatible 3 up pink R R 1 756 651 669 755 No-drop d d 1 538
OGWM_108 sess_1 PFC_iTBS 1 29 neutral 2 incompatible 2 right orange U U 1 690 585 621 689 No-drop s s 1 736
OGWM_108 sess_1 PFC_iTBS 1 30 neutral 2 incompatible 1 left orange U U 1 672 497 611 671 No-drop s s 1 678
OGWM_108 sess_1 PFC_iTBS 1 31 neutral 1 compatible 2 right pink R R 1 1246 33 1211 1245 No-drop d d 1 640
OGWM_108 sess_1 PFC_iTBS 1 32 neutral 1 compatible 2 right pink R R 1 682 611 647 681 No-drop d d 1 579
OGWM_108 sess_1 PFC_iTBS 1 33 neutral 1 compatible 4 down blue D D 1 666 577 595 665 No-drop s s 1 455
OGWM_108 sess_1 PFC_iTBS 1 34 neutral 2 incompatible 2 right orange U U 1 770 699 717 769 No-drop s s 1 818
OGWM_108 sess_1 PFC_iTBS 1 35 neutral 1 compatible 4 down blue D D 1 572 95 537 571 No-drop d d 1 1150
OGWM_108 sess_1 PFC_iTBS 1 36 neutral 2 incompatible 3 up blue D D 1 842 317 791 841 No-drop s s 1 644
OGWM_108 sess_1 PFC_iTBS 2 1 neutral 2 incompatible 4 down orange U U 1 1022 669 705 989 No-drop s s 1 444
OGWM_108 sess_1 PFC_iTBS 2 2 neutral 2 incompatible 1 left blue D D 1 807 736 754 807 No-drop s s 1 575
OGWM_108 sess_1 PFC_iTBS 2 3 neutral 1 compatible 2 right pink R R 1 826 773 791 826 No-drop d d 1 1277
OGWM_108 sess_1 PFC_iTBS 2 4 neutral 2 incompatible 1 left pink R R 1 790 719 755 789 No-drop s s 1 574
OGWM_108 sess_1 PFC_iTBS 2 5 neutral 1 compatible 2 right pink R R 1 592 149 541 591 No-drop d d 1 475
OGWM_108 sess_1 PFC_iTBS 2 6 neutral 2 incompatible 4 down green L L 1 1854 437 1617 1853 No-drop d d 1 1228
OGWM_108 sess_1 PFC_iTBS 2 7 neutral 1 compatible 3 up orange U U 1 688 177 635 688 No-drop s s 1 503
OGWM_108 sess_1 PFC_iTBS 2 8 neutral 2 incompatible 2 right blue D D 1 1032 857 979 1031 No-drop s s 1 991
OGWM_108 sess_1 PFC_iTBS 2 9 neutral 2 incompatible 4 down pink R R 1 868 781 815 867 No-drop d d 1 532
