subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_109 sess_2 PFC_cTBS 1 1 neutral 1 compatible 3 up orange U U 1 685 36 50 385 505 d d 1 689
OGWM_109 sess_2 PFC_cTBS 1 2 neutral 2 incompatible 3 up pink R R 1 934 540 556 695 740 d d 1 721
OGWM_109 sess_2 PFC_cTBS 1 3 neutral 2 incompatible 3 up green L L 1 787 506 524 593 658 d d 1 1761
OGWM_109 sess_2 PFC_cTBS 1 4 neutral 1 compatible 1 left green L L 1 874 41 501 743 825 d d 1 1407
OGWM_109 sess_2 PFC_cTBS 1 5 neutral 1 compatible 2 right pink R R 1 830 549 565 617 683 s s 1 875
OGWM_109 sess_2 PFC_cTBS 1 6 neutral 2 incompatible 2 right orange U U 1 870 533 551 637 823 s s 1 700
OGWM_109 sess_2 PFC_cTBS 1 7 neutral 2 incompatible 2 right blue D D 1 1014 677 713 833 879 s s 1 860
OGWM_109 sess_2 PFC_cTBS 1 8 neutral 2 incompatible 4 down pink R R 1 824 535 553 605 669 s s 1 750
OGWM_109 sess_2 PFC_cTBS 1 9 neutral 2 incompatible 4 down pink R R 1 886 629 647 715 781 s s 1 612
OGWM_109 sess_2 PFC_cTBS 1 10 neutral 1 compatible 1 left green L L 1 930 633 651 737 785 s s 1 576
OGWM_109 sess_2 PFC_cTBS 1 11 neutral 2 incompatible 4 down orange U U 1 1176 527 561 961 1041 s s 1 741
OGWM_109 sess_2 PFC_cTBS 1 12 neutral 1 compatible 1 left green L L 1 718 349 385 453 639 d d 1 652
OGWM_109 sess_2 PFC_cTBS 1 13 neutral 1 compatible 1 left green L L 1 648 375 393 445 527 s s 1 654
OGWM_109 sess_2 PFC_cTBS 1 14 neutral 1 compatible 2 right pink R R 1 578 265 301 513 No-drop s s 1 568
OGWM_109 sess_2 PFC_cTBS 1 15 neutral 2 incompatible 2 right green L L 1 928 399 415 845 911 d d 1 1029
OGWM_109 sess_2 PFC_cTBS 1 16 neutral 2 incompatible 1 left pink R R 1 980 547 563 599 857 s s 1 768
OGWM_109 sess_2 PFC_cTBS 1 17 neutral 2 incompatible 4 down green L L 1 1136 623 641 985 1049 d d 1 894
OGWM_109 sess_2 PFC_cTBS 1 18 neutral 2 incompatible 3 up green L L 1 762 513 529 581 647 s s 1 895
OGWM_109 sess_2 PFC_cTBS 1 19 neutral 1 compatible 3 up orange U U 1 682 281 333 453 641 s s 1 423
OGWM_109 sess_2 PFC_cTBS 1 20 neutral 2 incompatible 2 right orange U U 1 974 421 591 799 931 d d 1 787
OGWM_109 sess_2 PFC_cTBS 1 21 neutral 2 incompatible 2 right green L L 1 794 497 515 723 769 s s 1 944
OGWM_109 sess_2 PFC_cTBS 1 22 neutral 1 compatible 3 up orange U U 1 904 327 345 415 707 d d 1 927
OGWM_109 sess_2 PFC_cTBS 1 23 neutral 1 compatible 4 down blue D D 1 864 543 577 663 763 d d 1 1117
OGWM_109 sess_2 PFC_cTBS 1 24 neutral 1 compatible 3 up orange U U 1 576 279 297 435 499 d d 1 669
OGWM_109 sess_2 PFC_cTBS 1 25 neutral 2 incompatible 2 right green L L 1 696 367 385 471 519 d d 1 799
OGWM_109 sess_2 PFC_cTBS 1 26 neutral 2 incompatible 4 down green L L 1 798 525 541 627 759 s s 1 939
OGWM_109 sess_2 PFC_cTBS 1 27 neutral 2 incompatible 2 right orange U U 1 972 651 669 841 941 s s 1 602
OGWM_109 sess_2 PFC_cTBS 1 28 neutral 1 compatible 3 up orange U U 1 666 359 379 445 666 d d 1 774
OGWM_109 sess_2 PFC_cTBS 1 29 neutral 1 compatible 1 left green L L 1 1046 525 563 993 1039 s s 1 667
OGWM_109 sess_2 PFC_cTBS 1 30 neutral 1 compatible 4 down blue D D 1 622 261 297 417 499 d d 1 660
OGWM_109 sess_2 PFC_cTBS 1 31 neutral 1 compatible 4 down blue D D 1 728 431 449 517 617 d d 1 926
OGWM_109 sess_2 PFC_cTBS 1 32 neutral 1 compatible 1 left green L L 1 920 495 547 789 No-drop s s 1 613
OGWM_109 sess_2 PFC_cTBS 1 33 neutral 1 compatible 3 up orange U U 1 1004 571 589 865 981 d d 1 898
OGWM_109 sess_2 PFC_cTBS 1 34 neutral 2 incompatible 1 left pink R R 1 924 515 533 759 823 d d 1 602
OGWM_109 sess_2 PFC_cTBS 1 35 neutral 2 incompatible 1 left pink R R 1 936 399 547 875 No-drop d d 1 710
OGWM_109 sess_2 PFC_cTBS 1 36 neutral 1 compatible 4 down blue D D 1 720 383 419 505 621 s s 1 366
OGWM_109 sess_2 PFC_cTBS 2 1 valid 1 compatible 4 down blue D D 1 726 413 429 533 701 d d 1 859
OGWM_109 sess_2 PFC_cTBS 2 2 valid 1 compatible 4 down blue D D 1 751 414 432 554 688 s s 1 349
OGWM_109 sess_2 PFC_cTBS 2 3 valid 2 incompatible 2 right blue D D 1 958 309 359 563 841 d d 1 866
OGWM_109 sess_2 PFC_cTBS 2 4 valid 2 incompatible 1 left orange U U 1 902 581 617 755 837 s s 1 700
OGWM_109 sess_2 PFC_cTBS 2 5 valid 2 incompatible 1 left pink R R 1 710 269 425 493 575 s s 1 684
OGWM_109 sess_2 PFC_cTBS 2 6 valid 1 compatible 2 right pink R R 1 672 287 321 559 623 s s 1 1612
OGWM_109 sess_2 PFC_cTBS 2 7 valid 1 compatible 3 up orange U U 1 940 475 491 827 827 s s 1 945
OGWM_109 sess_2 PFC_cTBS 2 8 valid 1 compatible 1 left green L L 1 922 393 427 479 791 s s 1 911
OGWM_109 sess_2 PFC_cTBS 2 9 valid 1 compatible 2 right pink R R 1 818 369 387 455 521 s s 1 879
OGWM_109 sess_2 PFC_cTBS 2 10 valid 1 compatible 3 up orange U U 1 828 435 467 691 807 d d 1 1433
OGWM_109 sess_2 PFC_cTBS 2 11 valid 1 compatible 4 down blue D D 1 606 269 303 407 539 s s 1 891
OGWM_109 sess_2 PFC_cTBS 2 12 valid 2 incompatible 3 up blue D D 1 806 477 513 667 801 s s 1 1748
OGWM_109 sess_2 PFC_cTBS 2 13 valid 1 compatible 2 right pink R R 1 758 469 503 573 637 d d 1 1115
OGWM_109 sess_2 PFC_cTBS 2 14 valid 1 compatible 4 down blue D D 1 694 389 405 493 643 d d 1 1067
OGWM_109 sess_2 PFC_cTBS 2 15 valid 1 compatible 2 right pink R R 1 1318 13 495 1318 1318 d d 1 1012
OGWM_109 sess_2 PFC_cTBS 2 16 valid 1 compatible 2 right pink R R 1 594 329 347 433 567 d d 1 960
OGWM_109 sess_2 PFC_cTBS 2 17 valid 1 compatible 3 up orange U U 1 768 319 337 423 541 s s 1 942
OGWM_109 sess_2 PFC_cTBS 2 18 valid 1 compatible 4 down blue D D 1 632 303 337 407 539 d d 1 949
OGWM_109 sess_2 PFC_cTBS 2 19 valid 2 incompatible 1 left blue D D 1 1046 309 327 1003 No-drop s s 1 875
OGWM_109 sess_2 PFC_cTBS 2 20 valid 2 incompatible 3 up pink R R 1 806 509 527 597 661 s s 1 428
OGWM_109 sess_2 PFC_cTBS 2 21 valid 1 compatible 2 right pink R R 1 610 305 323 391 457 d d 1 871
OGWM_109 sess_2 PFC_cTBS 2 22 valid 1 compatible 1 left green L L 1 908 379 395 447 713 d d 1 953
OGWM_109 sess_2 PFC_cTBS 2 23 valid 1 compatible 1 left green L L 1 802 425 459 527 575 s s 1 631
OGWM_109 sess_2 PFC_cTBS 2 24 valid 1 compatible 3 up orange U U 1 820 523 559 679 795 d d 1 610
OGWM_109 sess_2 PFC_cTBS 2 25 valid 1 compatible 1 left green L L 1 952 463 481 825 923 d d 1 662
