subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_115 sess_2 no_TMS 1 1 neutral 2 incompatible 2 right green L L 1 1151 284 578 941 1092 s d 0 978
OGWM_115 sess_2 no_TMS 1 2 neutral 2 incompatible 3 up blue D D 1 900 506 620 810 No-drop s s 1 727
OGWM_115 sess_2 no_TMS 1 3 neutral 2 incompatible 1 left orange U U 1 953 288 504 868 No-drop d d 1 798
OGWM_115 sess_2 no_TMS 1 4 neutral 1 compatible 1 left green L L 1 734 365 399 641 723 s s 1 707
OGWM_115 sess_2 no_TMS 1 5 neutral 1 compatible 4 down blue D D 1 972 539 591 763 913 d d 1 554
OGWM_115 sess_2 no_TMS 1 6 neutral 1 compatible 4 down blue D D 1 1010 505 541 833 1003 s s 1 632
OGWM_115 sess_2 no_TMS 1 7 neutral 2 incompatible 1 left blue D D 1 942 405 587 777 No-drop s s 1 587
OGWM_115 sess_2 no_TMS 1 8 neutral 2 incompatible 3 up pink R R 1 1434 833 939 1180 1349 d d 1 512
OGWM_115 sess_2 no_TMS 1 9 neutral 2 incompatible 2 right green L L 1 922 545 597 753 905 d d 1 824
OGWM_115 sess_2 no_TMS 1 10 neutral 2 incompatible 1 left orange U U 1 1262 581 633 943 1077 d d 1 803
OGWM_115 sess_2 no_TMS 1 11 neutral 2 incompatible 2 right blue D D 1 954 593 645 715 917 s s 1 687
OGWM_115 sess_2 no_TMS 1 12 neutral 2 incompatible 3 up green L L 1 962 585 637 809 941 d d 1 664
OGWM_115 sess_2 no_TMS 1 13 neutral 1 compatible 3 up orange U U 1 1036 659 711 967 1015 d d 1 697
OGWM_115 sess_2 no_TMS 1 14 neutral 2 incompatible 4 down orange U U 1 1108 283 559 853 953 s s 1 762
OGWM_115 sess_2 no_TMS 1 15 neutral 1 compatible 3 up orange U U 1 946 401 505 833 931 s s 1 503
OGWM_115 sess_2 no_TMS 1 16 neutral 2 incompatible 2 right orange U U 1 1418 577 595 1355 No-drop s s 1 751
OGWM_115 sess_2 no_TMS 1 17 neutral 1 compatible 3 up orange U U 1 848 319 443 753 No-drop s s 1 558
OGWM_115 sess_2 no_TMS 1 18 neutral 1 compatible 4 down blue D D 1 870 413 465 655 755 s s 1 596
OGWM_115 sess_2 no_TMS 1 19 neutral 2 incompatible 4 down green L L 1 1012 611 645 713 831 d d 1 584
OGWM_115 sess_2 no_TMS 1 20 neutral 1 compatible 4 down blue D D 1 1488 703 719 875 923 d d 1 532
OGWM_115 sess_2 no_TMS 1 21 neutral 1 compatible 4 down blue D D 1 966 445 479 791 959 d d 1 564
OGWM_115 sess_2 no_TMS 1 22 neutral 2 incompatible 1 left pink R R 1 1300 851 937 1059 1139 s s 1 713
OGWM_115 sess_2 no_TMS 1 23 neutral 1 compatible 1 left green L L 1 1572 507 889 1517 No-drop s s 1 602
OGWM_115 sess_2 no_TMS 1 24 neutral 1 compatible 4 down blue D D 1 1104 647 683 941 1091 s s 1 829
OGWM_115 sess_2 no_TMS 1 25 neutral 2 incompatible 2 right blue D D 1 1148 483 551 1017 No-drop d d 1 1289
OGWM_115 sess_2 no_TMS 1 26 neutral 1 compatible 3 up orange U U 1 1316 315 645 783 1021 d s 0 738
OGWM_115 sess_2 no_TMS 1 27 neutral 2 incompatible 4 down green L L 1 1098 673 709 881 1049 d d 1 1584
OGWM_115 sess_2 no_TMS 1 28 neutral 2 incompatible 2 right blue D D 1 1000 599 633 771 975 d d 1 797
OGWM_115 sess_2 no_TMS 1 29 neutral 1 compatible 2 right pink R R 1 1668 763 831 1613 No-drop s s 1 1042
OGWM_115 sess_2 no_TMS 1 30 neutral 1 compatible 3 up orange U U 1 1334 757 979 1169 No-drop s s 1 524
OGWM_115 sess_2 no_TMS 1 31 neutral 2 incompatible 2 right blue D D 1 1070 717 735 873 No-drop s s 1 755
OGWM_115 sess_2 no_TMS 1 32 neutral 2 incompatible 1 left orange U  0 Time-out 715 733 801 883 d d 1 665
OGWM_115 sess_2 no_TMS 1 33 neutral 1 compatible 3 up orange U U 1 1117 436 616 944 1094 d d 1 1082
OGWM_115 sess_2 no_TMS 1 34 neutral 1 compatible 2 right pink R R 1 1638 629 913 1607 No-drop s s 1 667
OGWM_115 sess_2 no_TMS 1 35 neutral 1 compatible 1 left green L L 1 822 445 481 635 787 d d 1 900
