subject	session	target	block	trial	CurrentCondition	TrialType	CompType	CurrentSampleIndex_1	CurrentSampleIndex_2	CurrentSample_1	CurrentSample_2	CurrentCue	cueColor	correctResp	Resp	ACC	msecRT	move_init_msecRT	move_init_bound_msecRT	enter_box_msecRT	velocity_drop_msecRT	cueValidity	probe_loc	probeMatch	CurrentProbeSample	correctProbeResp	probeResp	probeACC	probemsecRT
OGWM_102	sess1	s1	1	1	1	compatible	cued_comp	1	3	left	up	1	green	L	L	1	1307	466	516	947	1092	invalid	2	non-match	down	d	d	1	1115
OGWM_102	sess1	s1	1	2	3	neutral	neut_comp	1	4	left	down	X	blue	D	D	1	1197	396	484	936	1034	NA	2	non-match	left	d	d	1	878
OGWM_102	sess1	s1	1	3	2	incompatible	uncued_comp	2	4	right	down	2	pink	R	R	1	1003	14	494	782	916	valid	2	non-match	left	d	d	1	813
OGWM_102	sess1	s1	1	4	2	incompatible	incomp	3	2	up	right	2	blue	D	D	1	1277	396	448	914	914	valid	2	match	right	s	s	1	702
OGWM_102	sess1	s1	1	5	1	compatible	cued_comp	3	1	up	left	1	orange	U	U	1	1330	329	397	1069	1151	valid	1	match	up	s	s	1	435
OGWM_102	sess1	s1	1	6	2	incompatible	incomp	4	1	down	left	1	orange	U	U	1	1274	408	426	1079	702	valid	1	non-match	up	d	d	1	626
OGWM_102	sess1	s1	1	7	1	compatible	cued_comp	4	1	down	left	2	green	L	L	1	1120	455	541	853	933	valid	2	non-match	up	d	d	1	610
OGWM_102	sess1	s1	1	8	3	neutral	neut_comp	2	3	right	up	X	orange	U	U	1	874	345	413	601	717	NA	2	match	up	s	s	1	386
OGWM_102	sess1	s1	1	9	3	neutral	neut_comp	2	1	right	left	X	green	L	L	1	866	385	437	715	847	NA	2	match	left	s	s	1	523
OGWM_102	sess1	s1	1	10	2	incompatible	incomp	1	3	left	up	1	pink	R	R	1	798	413	449	535	685	valid	1	non-match	right	d	d	1	744
OGWM_102	sess1	s1	1	11	1	compatible	cued_comp	3	4	up	down	1	orange	U	U	1	1434	569	655	895	1255	valid	1	non-match	right	d	d	1	411
OGWM_102	sess1	s1	1	12	3	neutral	neut_comp	1	3	left	up	X	orange	U	U	1	1010	425	477	789	905	NA	1	match	left	s	s	1	499
OGWM_102	sess1	s1	1	13	3	neutral	neut_comp	3	1	up	left	X	green	L	L	1	1014	485	555	849	947	NA	2	non-match	up	d	d	1	537
OGWM_102	sess1	s1	1	14	3	neutral	neut_incomp	3	2	up	right	X	blue	D	D	1	1042	433	503	693	877	NA	1	match	up	s	s	1	460
OGWM_102	sess1	s1	1	15	1	compatible	cued_comp	1	3	left	up	2	orange	U	U	1	762	345	397	483	617	valid	2	match	up	s	s	1	546
OGWM_102	sess1	s1	1	16	3	neutral	neut_incomp	1	3	left	up	X	blue	D	D	1	876	467	519	657	843	NA	2	non-match	left	d	d	1	541
OGWM_102	sess1	s1	1	17	3	neutral	neut_incomp	4	3	down	up	X	green	L	L	1	1592	271	411	1433	1515	NA	2	match	up	s	s	1	481
OGWM_102	sess1	s1	1	18	2	incompatible	incomp	4	3	down	up	2	pink	R	R	1	1012	419	507	867	949	valid	2	match	up	s	s	1	342
OGWM_102	sess1	s1	1	19	3	neutral	neut_incomp	4	2	down	right	X	green	L	L	1	904	367	445	719	904	NA	2	match	right	s	s	1	626
OGWM_102	sess1	s1	1	20	2	incompatible	uncued_comp	2	1	right	left	2	pink	R	R	1	1000	551	603	879	979	valid	2	non-match	right	d	d	1	786
OGWM_102	sess1	s1	1	21	2	incompatible	uncued_comp	4	1	down	left	1	green	L	L	1	922	353	421	729	899	valid	1	match	down	s	s	1	451
OGWM_102	sess1	s1	1	22	2	incompatible	incomp	3	2	up	right	2	green	L	L	1	888	415	499	619	683	invalid	1	non-match	left	d	d	1	586
OGWM_102	sess1	s1	1	23	1	compatible	cued_comp	4	2	down	right	1	blue	D	D	1	1410	457	525	595	1253	valid	1	match	down	s	s	1	427
OGWM_102	sess1	s1	1	24	1	compatible	cued_comp	3	2	up	right	2	pink	R	R	1	1202	465	499	777	893	valid	2	match	right	s	s	1	427
OGWM_102	sess1	s1	1	25	3	neutral	neut_incomp	3	1	up	left	X	pink	R	R	1	986	57	413	843	925	NA	1	non-match	right	d	d	1	578
OGWM_102	sess1	s1	1	26	1	compatible	cued_comp	2	3	right	up	1	pink	R	R	1	980	451	503	797	929	valid	1	non-match	up	d	d	1	605
OGWM_102	sess1	s1	1	27	3	neutral	neut_comp	1	4	left	down	X	green	L	L	1	988	83	567	653	753	NA	2	match	down	s	s	1	501
OGWM_102	sess1	s1	1	28	3	neutral	neut_incomp	4	3	down	up	X	pink	R	R	1	824	383	419	659	777	NA	1	match	down	s	s	1	459
OGWM_102	sess1	s1	1	29	1	compatible	cued_comp	1	4	left	down	1	green	L	L	1	904	439	507	749	867	valid	1	match	left	s	d	0	441
OGWM_102	sess1	s1	1	30	2	incompatible	incomp	2	4	right	down	2	green	L	L	1	1278	701	771	961	1095	valid	2	non-match	right	d	d	1	560
OGWM_102	sess1	s1	1	31	1	compatible	cued_comp	2	1	right	left	2	green	L	L	1	1130	321	355	947	1079	valid	2	non-match	up	d	d	1	635
OGWM_102	sess1	s1	1	32	1	compatible	cued_comp	4	1	down	left	2	green	L	L	1	1576	335	515	1443	1561	valid	2	non-match	up	d	d	1	514
OGWM_102	sess1	s1	1	33	1	compatible	cued_comp	1	2	left	right	2	pink	R	R	1	878	375	425	735	853	valid	2	non-match	down	d	d	1	582
OGWM_102	sess1	s1	1	34	2	incompatible	incomp	3	2	up	right	1	green	L	L	1	1014	397	515	877	1011	valid	1	match	up	s	s	1	896
OGWM_102	sess1	s1	1	35	2	incompatible	incomp	2	3	right	up	1	blue	D	D	1	1156	51	465	1019	No-drop	invalid	2	non-match	right	d	d	1	684
OGWM_102	sess1	s1	1	36	2	incompatible	uncued_comp	2	3	right	up	1	orange	U		0	Time-out	807	935	1857	1991	valid	1	match	right	s	s	1	441
OGWM_102	sess1	s1	2	1	1	compatible	cued_comp	1	3	left	up	2	orange	U	U	1	903	6	458	614	782	valid	2	match	up	s	NA	0	9999000
OGWM_102	sess1	s1	2	2	1	compatible	cued_comp	3	2	up	right	2	pink	R	R	1	943	406	458	734	868	valid	2	match	right	s	d	0	593
OGWM_102	sess1	s1	2	3	3	neutral	neut_comp	2	3	right	up	X	pink	R	R	1	1434	257	557	1159	1189	NA	2	non-match	down	d	d	1	739
