subject session target block trial CurrentCondition TrialType CompType CurrentSampleIndex_1 CurrentSampleIndex_2 CurrentSample_1 CurrentSample_2 CurrentCue cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT cueValidity probe_loc probeMatch CurrentProbeSample correctProbeResp probeResp probeACC probemsecRT
OGWM_102 sess2 pfc 1 1 1 compatible cued_comp 4 1 down left 1 blue D D 1 1477 434 468 1275 1338 valid 1 match down s s 1 682
OGWM_102 sess2 pfc 1 2 1 compatible cued_comp 3 2 up right 1 orange U U 1 1367 9 60 896 1030 invalid 2 non-match down d d 1 799
OGWM_102 sess2 pfc 1 3 3 neutral neut_incomp 1 3 left up X pink R R 1 1320 750 802 1115 1230 NA 2 match up s s 1 360
OGWM_102 sess2 pfc 1 4 1 compatible cued_comp 4 2 down right 2 pink R R 1 1362 545 579 1129 1129 valid 2 non-match left d d 1 643
OGWM_102 sess2 pfc 1 5 2 incompatible incomp 2 4 right down 2 green L L 1 1156 314 364 885 964 invalid 1 non-match up d d 1 522
OGWM_102 sess2 pfc 1 6 3 neutral neut_incomp 2 1 right left X orange U R 0 1518 581 599 No-move 1279 NA 1 non-match left d d 1 550
OGWM_102 sess2 pfc 1 7 1 compatible cued_comp 2 3 right up 1 pink R R 1 1984 967 1001 1173 1375 valid 1 match right s s 1 529
OGWM_102 sess2 pfc 1 8 2 incompatible incomp 3 2 up right 1 green L L 1 1476 1163 1181 1249 1331 valid 1 non-match down d d 1 396
OGWM_102 sess2 pfc 1 9 2 incompatible uncued_comp 1 3 left up 2 green L L 1 1580 1107 1143 1403 1553 valid 2 non-match down d d 1 430
OGWM_102 sess2 pfc 1 10 2 incompatible incomp 3 1 up left 1 pink R R 1 1558 901 1021 1329 1531 valid 1 match up s s 1 471
OGWM_102 sess2 pfc 1 11 3 neutral neut_comp 4 2 down right X blue D D 1 1340 507 575 1181 1181 NA 2 match right s s 1 612
OGWM_102 sess2 pfc 1 12 3 neutral neut_incomp 2 4 right down X orange U U 1 1372 211 245 1173 1173 NA 2 non-match right d s 0 820
OGWM_102 sess2 pfc 1 13 1 compatible cued_comp 1 3 left up 2 orange U U 1 1340 867 901 1125 1293 valid 2 non-match down d d 1 701
OGWM_102 sess2 pfc 1 14 1 compatible cued_comp 1 2 left right 2 pink R R 1 1272 575 611 1029 1145 valid 2 non-match down d d 1 594
OGWM_102 sess2 pfc 1 15 3 neutral neut_comp 2 4 right down X pink R R 1 1690 1065 1099 1433 1531 NA 2 match down s s 1 563
OGWM_102 sess2 pfc 1 16 2 incompatible incomp 4 2 down right 1 orange U U 1 1044 483 757 861 977 valid 1 match down s s 1 357
OGWM_102 sess2 pfc 1 17 2 incompatible uncued_comp 3 1 up left 2 orange U U 1 1328 751 905 1243 1243 valid 2 non-match right d d 1 488
OGWM_102 sess2 pfc 1 18 2 incompatible uncued_comp 3 1 up left 1 green L L 1 1684 1187 1205 1531 1665 valid 1 non-match down d d 1 469
OGWM_102 sess2 pfc 1 19 1 compatible cued_comp 2 3 right up 1 pink R R 1 1634 1049 1085 1447 1563 valid 1 match right s s 1 420
OGWM_102 sess2 pfc 1 20 3 neutral neut_incomp 2 4 right down X orange U U 1 1274 769 787 1135 1135 NA 2 non-match right d f 0 604
