subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_103 sess_2 no_TMS 1 1 neutral 2 incompatible 2 right blue D D 1 932 105 452 538 671 d d 1 486
OGWM_103 sess_2 no_TMS 1 2 neutral 1 compatible 4 down blue D D 1 763 418 452 538 690 d d 1 712
OGWM_103 sess_2 no_TMS 1 3 neutral 1 compatible 4 down blue D D 1 811 474 526 630 712 d d 1 640
OGWM_103 sess_2 no_TMS 1 4 neutral 2 incompatible 2 right green L L 1 836 387 423 744 No-drop d d 1 619
OGWM_103 sess_2 no_TMS 1 5 neutral 1 compatible 1 left green L L 1 720 447 465 569 649 s s 1 565
OGWM_103 sess_2 no_TMS 1 6 neutral 2 incompatible 3 up pink R R 1 718 429 447 534 631 s s 1 508
OGWM_103 sess_2 no_TMS 1 7 neutral 2 incompatible 2 right green L L 1 1038 445 479 841 991 d d 1 771
OGWM_103 sess_2 no_TMS 1 8 neutral 2 incompatible 2 right orange U U 1 882 529 565 685 882 s s 1 561
OGWM_103 sess_2 no_TMS 1 9 neutral 1 compatible 1 left green L L 1 786 409 443 683 747 d d 1 566
OGWM_103 sess_2 no_TMS 1 10 neutral 1 compatible 3 up orange U U 1 726 389 423 629 711 d d 1 564
OGWM_103 sess_2 no_TMS 1 11 neutral 1 compatible 1 left green L L 1 684 331 365 487 603 d d 1 673
OGWM_103 sess_2 no_TMS 1 12 neutral 2 incompatible 3 up green L L 1 758 485 501 553 635 s s 1 490
OGWM_103 sess_2 no_TMS 1 13 neutral 2 incompatible 3 up blue D D 1 1102 493 561 1011 No-drop s s 1 427
OGWM_103 sess_2 no_TMS 1 14 neutral 1 compatible 1 left green L L 1 1040 455 491 715 779 s s 1 494
OGWM_103 sess_2 no_TMS 1 15 neutral 2 incompatible 2 right green L L 1 762 457 475 595 693 d d 1 943
OGWM_103 sess_2 no_TMS 1 16 neutral 2 incompatible 2 right blue D D 1 936 527 563 921 No-drop d d 1 862
OGWM_103 sess_2 no_TMS 1 17 neutral 1 compatible 2 right pink R R 1 890 521 555 779 879 s s 1 656
OGWM_103 sess_2 no_TMS 1 18 neutral 1 compatible 4 down blue D D 1 748 315 367 471 707 s s 1 762
OGWM_103 sess_2 no_TMS 1 19 neutral 2 incompatible 1 left pink R R 1 778 417 435 591 707 d d 1 544
