subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_103 sess_3 PFC_iTBS 1 1 neutral 2 incompatible 2 right green L L 1 1252 37 706 1001 835 s s 1 575
OGWM_103 sess_3 PFC_iTBS 1 2 neutral 2 incompatible 4 down green L L 1 839 62 488 644 794 d d 1 572
OGWM_103 sess_3 PFC_iTBS 1 3 neutral 1 compatible 2 right pink R R 1 853 516 534 689 804 s s 1 426
OGWM_103 sess_3 PFC_iTBS 1 4 neutral 1 compatible 1 left green L L 1 664 287 321 459 591 s s 1 645
OGWM_103 sess_3 PFC_iTBS 1 5 neutral 1 compatible 1 left green L L 1 906 473 491 783 883 d d 1 624
OGWM_103 sess_3 PFC_iTBS 1 6 neutral 1 compatible 2 right pink R R 1 630 349 367 435 517 s s 1 699
OGWM_103 sess_3 PFC_iTBS 1 7 neutral 2 incompatible 1 left orange U U 1 990 381 503 745 843 d d 1 587
OGWM_103 sess_3 PFC_iTBS 1 8 neutral 2 incompatible 4 down green L L 1 906 441 475 789 819 d d 1 607
OGWM_103 sess_3 PFC_iTBS 1 9 neutral 1 compatible 2 right pink R R 1 670 373 391 459 541 s s 1 692
OGWM_103 sess_3 PFC_iTBS 1 10 neutral 1 compatible 3 up orange U U 1 686 285 339 563 679 s s 1 900
OGWM_103 sess_3 PFC_iTBS 1 11 neutral 2 incompatible 2 right blue D D 1 1568 527 577 989 1329 s s 1 908
OGWM_103 sess_3 PFC_iTBS 1 12 neutral 1 compatible 3 up orange U U 1 664 255 305 511 609 d d 1 900
OGWM_103 sess_3 PFC_iTBS 1 13 neutral 2 incompatible 1 left pink R R 1 896 613 631 683 765 s s 1 588
OGWM_103 sess_3 PFC_iTBS 1 14 neutral 1 compatible 2 right pink R R 1 972 547 565 863 963 s s 1 537
OGWM_103 sess_3 PFC_iTBS 1 15 neutral 1 compatible 4 down blue D D 1 754 241 293 397 497 d d 1 696
OGWM_103 sess_3 PFC_iTBS 1 16 neutral 2 incompatible 4 down orange U U 1 1588 651 685 1479 1129 d d 1 617
OGWM_103 sess_3 PFC_iTBS 1 17 neutral 2 incompatible 4 down pink R R 1 822 509 527 611 693 s s 1 652
OGWM_103 sess_3 PFC_iTBS 1 18 neutral 1 compatible 3 up orange U U 1 864 487 523 643 827 s s 1 526
OGWM_103 sess_3 PFC_iTBS 1 19 neutral 2 incompatible 4 down green L L 1 752 391 425 599 681 s s 1 533
OGWM_103 sess_3 PFC_iTBS 1 20 neutral 2 incompatible 3 up pink R R 1 918 341 537 641 705 d d 1 811
OGWM_103 sess_3 PFC_iTBS 1 21 neutral 2 incompatible 1 left pink R R 1 1258 777 795 1165 1247 d d 1 560
OGWM_103 sess_3 PFC_iTBS 1 22 neutral 2 incompatible 2 right orange U U 1 872 351 387 715 865 d d 1 854
OGWM_103 sess_3 PFC_iTBS 1 23 neutral 1 compatible 1 left green L L 1 738 177 369 491 693 d d 1 696
OGWM_103 sess_3 PFC_iTBS 1 24 neutral 2 incompatible 4 down green L L 1 908 531 547 703 767 s s 1 560
OGWM_103 sess_3 PFC_iTBS 1 25 neutral 1 compatible 1 left green L L 1 786 433 449 553 671 s s 1 654
OGWM_103 sess_3 PFC_iTBS 1 26 neutral 1 compatible 4 down blue D D 1 1498 609 713 1347 985 s s 1 505
OGWM_103 sess_3 PFC_iTBS 1 27 neutral 2 incompatible 3 up green L L 1 906 321 409 737 887 d d 1 617
OGWM_103 sess_3 PFC_iTBS 1 28 neutral 1 compatible 3 up orange U U 1 1214 565 617 1023 1087 d d 1 764
OGWM_103 sess_3 PFC_iTBS 1 29 neutral 2 incompatible 3 up pink R R 1 892 579 597 649 747 s s 1 562
OGWM_103 sess_3 PFC_iTBS 1 30 neutral 1 compatible 1 left green L L 1 754 337 371 509 695 s s 1 543
OGWM_103 sess_3 PFC_iTBS 1 31 neutral 2 incompatible 3 up green L L 1 778 19 457 561 711 d d 1 791
OGWM_103 sess_3 PFC_iTBS 1 32 neutral 2 incompatible 1 left orange U U 1 1422 149 523 1311 743 d d 1 971
OGWM_103 sess_3 PFC_iTBS 1 33 neutral 1 compatible 3 up orange U U 1 818 313 365 707 No-drop d d 1 689
OGWM_103 sess_3 PFC_iTBS 1 34 neutral 1 compatible 2 right pink R  0 Time-out 691 709 795 877 d d 1 944
OGWM_103 sess_3 PFC_iTBS 1 35 neutral 2 incompatible 2 right blue D D 1 1209 752 788 1028 1144 d d 1 703
OGWM_103 sess_3 PFC_iTBS 1 36 neutral 1 compatible 4 down blue D D 1 1042 457 475 785 1005 s s 1 655
OGWM_103 sess_3 PFC_iTBS 2 1 invalid 1 compatible 2 right pink R R 1 836 363 397 501 583 s s 1 520
OGWM_103 sess_3 PFC_iTBS 2 2 invalid 2 incompatible 4 down green L L 1 1019 554 576 640 792 s s 1 712
OGWM_103 sess_3 PFC_iTBS 2 3 invalid 2 incompatible 4 down orange U U 1 1234 425 443 875 991 d d 1 752
OGWM_103 sess_3 PFC_iTBS 2 4 invalid 2 incompatible 4 down orange U U 1 776 431 465 605 755 d d 1 766
OGWM_103 sess_3 PFC_iTBS 2 5 invalid 2 incompatible 3 up green L L 1 990 525 559 853 969 d d 1 747
OGWM_103 sess_3 PFC_iTBS 2 6 invalid 2 incompatible 4 down pink R R 1 940 483 501 535 829 s s 1 834
OGWM_103 sess_3 PFC_iTBS 2 7 invalid 1 compatible 1 left green L L 1 870 445 497 601 683 d d 1 1124
OGWM_103 sess_3 PFC_iTBS 2 8 invalid 1 compatible 1 left green L L 1 902 125 625 693 809 d d 1 1668
OGWM_103 sess_3 PFC_iTBS 2 9 invalid 2 incompatible 2 right blue D D 1 1168 463 497 945 1061 d d 1 877
OGWM_103 sess_3 PFC_iTBS 2 10 invalid 2 incompatible 4 down pink R R 1 792 447 465 603 773 s s 1 510
OGWM_103 sess_3 PFC_iTBS 2 11 invalid 2 incompatible 1 left blue D D 1 976 583 635 755 905 s s 1 767
OGWM_103 sess_3 PFC_iTBS 2 12 invalid 1 compatible 4 down blue D D 1 1166 525 543 1057 1139 s s 1 668
OGWM_103 sess_3 PFC_iTBS 2 13 invalid 2 incompatible 2 right green L L 1 976 503 537 811 911 s s 1 669
OGWM_103 sess_3 PFC_iTBS 2 14 invalid 2 incompatible 2 right orange U U 1 1640 911 947 1535 1535 d d 1 895
OGWM_103 sess_3 PFC_iTBS 2 15 invalid 2 incompatible 1 left pink R R 1 842 441 493 613 783 s s 1 583
OGWM_103 sess_3 PFC_iTBS 2 16 invalid 1 compatible 3 up orange U U 1 926 541 593 749 917 s s 1 540
