subject session target block trial BlockType CurrentCondition TrialType CurrentSampleIndex CurrentSample cueColor correctResp Resp ACC msecRT move_init_msecRT move_init_bound_msecRT enter_box_msecRT velocity_drop_msecRT correctProbeResp probeResp probeACC probemsecRT 
OGWM_105 sess_2 PFC_cTBS 1 1 neutral 2 incompatible 2 right blue D D 1 753 40 472 575 725 d d 1 371
OGWM_105 sess_2 PFC_cTBS 1 2 neutral 2 incompatible 1 left pink R R 1 1068 698 716 925 1006 d d 1 585
OGWM_105 sess_2 PFC_cTBS 1 3 neutral 1 compatible 1 left green L L 1 1105 464 586 915 1032 d d 1 405
OGWM_105 sess_2 PFC_cTBS 1 4 neutral 1 compatible 4 down blue D D 1 620 19 381 467 513 s s 1 449
OGWM_105 sess_2 PFC_cTBS 1 5 neutral 1 compatible 3 up orange U U 1 678 85 377 481 669 s s 1 364
OGWM_105 sess_2 PFC_cTBS 1 6 neutral 2 incompatible 1 left pink R R 1 708 83 445 531 613 s s 1 417
OGWM_105 sess_2 PFC_cTBS 1 7 neutral 1 compatible 3 up orange U U 1 982 29 633 787 973 s s 1 460
OGWM_105 sess_2 PFC_cTBS 1 8 neutral 1 compatible 3 up orange U U 1 722 425 459 527 695 s s 1 430
OGWM_105 sess_2 PFC_cTBS 1 9 neutral 1 compatible 3 up orange U U 1 684 19 389 493 645 d d 1 330
OGWM_105 sess_2 PFC_cTBS 1 10 neutral 2 incompatible 3 up green L L 1 916 267 477 667 819 d d 1 505
OGWM_105 sess_2 PFC_cTBS 1 11 neutral 2 incompatible 4 down green L L 1 714 417 435 539 689 s s 1 481
OGWM_105 sess_2 PFC_cTBS 1 12 neutral 2 incompatible 1 left orange U U 1 1148 627 645 955 837 d d 1 506
OGWM_105 sess_2 PFC_cTBS 1 13 neutral 2 incompatible 4 down orange U U 1 892 491 525 751 817 d d 1 506
OGWM_105 sess_2 PFC_cTBS 1 14 neutral 2 incompatible 4 down pink R R 1 780 515 533 601 683 s s 1 441
OGWM_105 sess_2 PFC_cTBS 1 15 neutral 1 compatible 1 left green L L 1 1144 31 597 905 1055 d d 1 436
OGWM_105 sess_2 PFC_cTBS 1 16 neutral 2 incompatible 1 left pink R R 1 874 81 603 673 771 d d 1 470
OGWM_105 sess_2 PFC_cTBS 1 17 neutral 2 incompatible 3 up pink R R 1 714 425 461 547 629 s s 1 440
OGWM_105 sess_2 PFC_cTBS 1 18 neutral 1 compatible 4 down blue D D 1 806 221 433 571 757 d d 1 347
OGWM_105 sess_2 PFC_cTBS 1 19 neutral 2 incompatible 2 right orange U U 1 1420 13 599 1169 871 d d 1 514
OGWM_105 sess_2 PFC_cTBS 1 20 neutral 1 compatible 4 down blue D D 1 836 59 511 701 819 s s 1 394
OGWM_105 sess_2 PFC_cTBS 1 21 neutral 2 incompatible 1 left pink R R 1 576 79 379 447 529 s s 1 406
OGWM_105 sess_2 PFC_cTBS 1 22 neutral 1 compatible 3 up orange U U 1 678 13 367 437 587 d d 1 418
OGWM_105 sess_2 PFC_cTBS 1 23 neutral 2 incompatible 2 right orange U U 1 896 575 593 713 831 s s 1 422
OGWM_105 sess_2 PFC_cTBS 1 24 neutral 1 compatible 2 right pink R R 1 852 35 487 643 673 s s 1 465
OGWM_105 sess_2 PFC_cTBS 1 25 neutral 1 compatible 3 up orange U U 1 668 275 375 479 595 s s 1 482
OGWM_105 sess_2 PFC_cTBS 1 26 neutral 2 incompatible 1 left pink R R 1 606 15 391 461 543 d d 1 491
OGWM_105 sess_2 PFC_cTBS 1 27 neutral 1 compatible 4 down blue D D 1 750 437 471 609 725 s s 1 667
OGWM_105 sess_2 PFC_cTBS 1 28 neutral 1 compatible 4 down blue D D 1 744 415 449 535 685 s s 1 588
OGWM_105 sess_2 PFC_cTBS 1 29 neutral 2 incompatible 1 left blue D D 1 708 243 423 491 661 d d 1 546
OGWM_105 sess_2 PFC_cTBS 1 30 neutral 2 incompatible 2 right orange U U 1 1050 409 595 803 867 d d 1 416
OGWM_105 sess_2 PFC_cTBS 1 31 neutral 1 compatible 2 right pink R R 1 702 413 447 517 669 s s 1 492
OGWM_105 sess_2 PFC_cTBS 1 32 neutral 1 compatible 2 right pink R R 1 662 7 431 501 583 s s 1 437
OGWM_105 sess_2 PFC_cTBS 1 33 neutral 2 incompatible 2 right blue D D 1 746 41 445 549 649 d d 1 455
OGWM_105 sess_2 PFC_cTBS 1 34 neutral 2 incompatible 4 down pink R R 1 724 403 453 541 657 d d 1 473
OGWM_105 sess_2 PFC_cTBS 1 35 neutral 1 compatible 2 right pink R R 1 748 435 469 557 671 d d 1 594
OGWM_105 sess_2 PFC_cTBS 1 36 neutral 1 compatible 3 up orange U U 1 994 449 575 731 777 s s 1 535
