subject	session	target	block	trial	CurrentCondition	TrialType	CompType	CurrentSampleIndex_1	CurrentSampleIndex_2	CurrentSample_1	CurrentSample_2	CurrentCue	cueColor	correctResp	Resp	ACC	msecRT	move_init_msecRT	move_init_bound_msecRT	enter_box_msecRT	velocity_drop_msecRT	cueValidity	probe_loc	probeMatch	CurrentProbeSample	correctProbeResp	probeResp	probeACC	probemsecRT
104	sess1	pfc	1	1	1	compatible	cued_comp	2	4	right	down	1	pink	R	R	1	928	831	865	1108	No-drop	valid	1	match	right	s	s	1	911
104	sess1	pfc	1	2	1	compatible	cued_comp	1	2	left	right	2	pink	R	R	1	1296	1016	1050	1240	No-drop	valid	2	match	right	s	NA	0	9999000
104	sess1	pfc	1	3	3	neutral	neut_comp	2	1	right	left	X	pink	R	R	1	810	674	708	760	No-drop	NA	2	non-match	down	d	d	1	730
104	sess1	pfc	1	4	1	compatible	cued_comp	1	3	left	up	1	green	L	L	1	1406	1037	1071	1346	No-drop	valid	1	non-match	down	d	d	1	830
104	sess1	pfc	1	5	2	incompatible	uncued_comp	4	1	down	left	1	green	L	L	1	1124	475	723	1123	No-drop	valid	1	non-match	right	d	d	1	1262
104	sess1	pfc	1	6	1	compatible	cued_comp	3	2	up	right	2	pink	R	R	1	724	579	613	665	No-drop	valid	2	match	right	s	s	1	836
104	sess1	pfc	1	7	1	compatible	cued_comp	2	3	right	up	1	pink	R	R	1	930	553	571	605	879	valid	1	non-match	up	d	d	1	1035
104	sess1	pfc	1	8	3	neutral	neut_incomp	1	2	left	right	X	orange	U	U	1	1362	945	979	1299	No-drop	NA	2	non-match	left	d	d	1	970
104	sess1	pfc	1	9	3	neutral	neut_incomp	2	1	right	left	X	blue	D	D	1	1044	707	741	983	No-drop	NA	2	non-match	right	d	d	1	732
104	sess1	pfc	1	10	1	compatible	cued_comp	3	2	up	right	2	pink	R	R	1	856	695	711	781	845	valid	2	non-match	up	d	d	1	1736
104	sess1	pfc	1	11	3	neutral	neut_incomp	2	1	right	left	X	blue	D	D	1	1146	649	701	1091	1139	NA	2	match	left	s	s	1	924
104	sess1	pfc	1	12	1	compatible	cued_comp	2	4	right	down	2	blue	D	D	1	1070	725	759	933	1049	valid	2	match	down	s	s	1	768
104	sess1	pfc	1	13	2	incompatible	incomp	3	4	up	down	2	pink	R	R	1	1328	1000	1034	1310	No-drop	valid	2	match	down	s	s	1	1074
104	sess1	pfc	1	14	3	neutral	neut_incomp	4	3	down	up	X	green	L	L	1	1438	869	1211	1349	No-drop	NA	1	match	down	s	s	1	815
104	sess1	pfc	1	15	3	neutral	neut_comp	3	4	up	down	X	blue	D	D	1	1622	757	793	1579	No-drop	NA	2	non-match	left	d	d	1	575
104	sess1	pfc	1	16	1	compatible	cued_comp	4	1	down	left	2	green	L	L	1	1496	55	1331	1401	No-drop	valid	2	non-match	down	d	s	0	1953
104	sess1	pfc	1	17	3	neutral	neut_comp	4	2	down	right	X	blue	D	D	1	1402	697	733	1185	1087	NA	1	non-match	up	d	d	1	1068
104	sess1	pfc	1	18	3	neutral	neut_comp	3	2	up	right	X	pink	R	R	1	1194	761	795	1125	No-drop	NA	1	match	up	s	s	1	674
104	sess1	pfc	1	19	1	compatible	cued_comp	2	3	right	up	1	pink	R	R	1	1150	725	761	1129	No-drop	valid	1	match	right	s	s	1	944
